Chemical Formula,Trace,State,Date
C7B,[],Liquid,2019-04-16 06:55:56
OB1,"['O1B', '1OB', 'BO1']",Liquid,2012-09-03 03:44:54
F4R,"['4RF', 'R4F', 'FR4']",Solid,2012-02-20 14:32:17
N0O,['O0N'],Gas,2021-03-18 22:54:39
DE3,['ED3'],Gas,2015-05-21 10:56:01
B1Q,[],Gas,2014-02-23 12:33:43
H9U,['UH9'],Solid,2015-03-06 01:04:22
R7U,[],Liquid,2021-08-05 03:14:43
RM8,"['R8M', 'M8R']",Liquid,2013-09-28 14:51:48
KC8,"['8CK', '8KC', 'C8K']",Gas,2016-06-04 05:56:32
CB2,['BC2'],Gas,2011-12-20 07:56:48
UO6,"['O6U', 'U6O']",Gas,2019-07-20 22:27:20
4TW,"['4WT', '4WT']",Solid,2021-10-24 06:54:50
6PY,"['6PY', 'Y6P', 'Y6P']",Gas,2013-01-29 20:45:41
4TA,"['4TA', 'TA4', 'TA4']",Gas,2011-12-11 16:19:36
H4L,"['4LH', 'H4L']",Solid,2015-12-26 23:58:23
K0S,[],Solid,2012-05-06 16:02:24
MK7,[],Liquid,2013-01-22 07:25:04
C9N,"['NC9', 'C9N', '9NC']",Liquid,2019-12-29 07:16:42
PF5,[],Gas,2013-06-19 22:31:34
4XQ,['QX4'],Solid,2014-06-23 04:34:57
EU3,"['3EU', 'EU3']",Solid,2020-04-13 19:50:29
HW6,[],Gas,2014-07-23 01:25:20
G8N,['8NG'],Gas,2016-04-26 21:07:47
R1Q,"['RQ1', 'R1Q', 'Q1R']",Solid,2010-10-07 12:54:20
H1E,['H1E'],Gas,2017-08-11 10:06:31
ZN0,"['N0Z', 'N0Z']",Solid,2014-03-29 03:44:34
9NI,[],Gas,2017-02-19 16:30:42
E7K,['7KE'],Gas,2019-12-02 04:38:16
9TN,"['9TN', 'TN9']",Solid,2015-01-06 02:38:54
5AV,['V5A'],Gas,2017-03-28 20:42:28
4DB,"['4BD', 'B4D', 'BD4']",Solid,2011-07-12 15:05:22
YS5,"['5SY', 'YS5']",Liquid,2012-09-20 11:26:22
H8M,['MH8'],Gas,2011-09-18 10:35:47
4MT,[],Gas,2019-03-29 02:20:55
U9X,"['UX9', 'XU9', 'XU9']",Gas,2010-11-23 15:29:14
NQ5,"['5NQ', 'Q5N']",Solid,2020-03-31 12:05:39
U9O,[],Gas,2017-08-27 17:07:43
5KA,['A5K'],Liquid,2021-12-30 17:22:21
0WE,[],Liquid,2015-08-04 22:15:54
MX5,"['M5X', 'X5M', 'M5X']",Liquid,2012-05-20 16:38:25
OS8,[],Gas,2013-03-22 03:34:20
X7C,"['C7X', 'C7X']",Liquid,2021-06-13 03:10:16
XI9,['XI9'],Gas,2012-03-25 03:45:55
L7S,"['LS7', 'S7L']",Liquid,2017-11-16 06:13:32
SS7,"['S7S', 'S7S']",Solid,2013-07-22 17:14:42
9ZP,"['9ZP', 'ZP9', '9PZ']",Gas,2012-11-24 08:14:51
2XL,"['2XL', 'L2X']",Liquid,2017-12-18 19:53:50
9FS,"['FS9', 'FS9', 'F9S']",Liquid,2013-05-30 17:16:00
AF7,[],Solid,2019-06-29 18:54:38
B1X,['1BX'],Gas,2011-06-15 21:34:52
JI4,['4JI'],Gas,2010-12-23 11:22:55
EA9,"['9EA', 'A9E', 'AE9']",Gas,2013-10-19 08:36:51
WB1,[],Liquid,2019-08-28 20:36:40
K9K,"['K9K', 'KK9', 'K9K']",Liquid,2011-10-09 18:04:53
VT2,[],Gas,2010-06-15 08:16:17
Q3P,[],Liquid,2010-10-27 18:52:22
G1J,"['1JG', 'G1J', 'GJ1']",Liquid,2010-02-06 13:05:41
8OW,"['OW8', 'OW8', '8WO']",Gas,2010-08-31 04:24:36
8II,['II8'],Gas,2012-03-11 14:20:38
2ES,['SE2'],Solid,2017-10-04 22:05:23
I5X,[],Gas,2010-09-11 03:47:26
A4Z,['Z4A'],Liquid,2011-06-22 14:23:59
6QA,"['6QA', '6QA']",Gas,2021-08-20 09:23:04
HI9,"['I9H', 'I9H', 'IH9']",Solid,2019-12-17 08:52:25
Y7N,[],Liquid,2011-05-25 04:07:11
U8R,['8RU'],Gas,2014-08-04 19:17:03
H0B,['0HB'],Gas,2014-02-08 05:56:11
3NG,['G3N'],Liquid,2010-01-20 21:24:22
GD4,[],Gas,2010-01-24 02:19:56
Z4O,"['4ZO', 'OZ4']",Gas,2015-12-31 19:38:22
5QX,[],Liquid,2014-12-05 09:31:31
L8M,[],Solid,2010-07-31 13:02:50
R3S,['RS3'],Solid,2018-01-04 12:18:42
NM5,"['N5M', '5MN']",Solid,2019-03-07 06:28:28
9NC,"['NC9', '9NC']",Supercritical fluid,2018-10-27 07:58:28
4TX,['T4X'],Gas,2013-09-29 01:04:13
XJ0,"['XJ0', 'J0X', 'JX0']",Gas,2013-02-27 16:58:07
L3W,['3LW'],Gas,2013-05-11 02:40:28
3WN,"['3WN', 'W3N']",Gas,2019-04-06 01:57:20
5SW,[],Solid,2017-12-24 00:41:34
6VT,"['VT6', 'T6V']",Gas,2015-06-06 16:04:07
1SC,['C1S'],Liquid,2011-02-22 03:26:33
V1Z,"['VZ1', '1VZ', 'ZV1']",Gas,2019-04-18 22:50:58
U7O,"['UO7', 'U7O', 'U7O']",Solid,2019-10-25 03:44:17
Q0Y,['Q0Y'],Liquid,2015-09-09 02:22:53
VY1,"['Y1V', 'YV1']",Solid,2014-06-09 22:33:26
QJ0,[],Gas,2018-01-30 04:19:10
K6R,"['K6R', '6RK']",Gas,2021-09-22 13:57:40
H0B,"['BH0', 'HB0']",Gas,2016-09-27 16:14:27
9KI,"['9IK', 'K9I', 'I9K']",Liquid,2017-07-12 05:22:41
N0T,[],Liquid,2016-08-27 14:25:51
RJ7,"['7RJ', '7RJ']",Gas,2015-03-02 03:29:35
R6Y,"['6YR', 'YR6']",Liquid,2015-03-21 20:23:32
ID8,[],Solid,2016-07-17 06:17:40
IU5,"['U5I', '5IU', 'U5I']",Solid,2014-04-06 13:52:48
C9H,['HC9'],Gas,2016-04-08 09:01:14
1VT,[],Solid,2013-03-06 17:31:01
C0C,"['0CC', 'C0C', 'CC0']",Solid,2018-07-21 20:02:38
ZC7,"['CZ7', 'CZ7']",Liquid,2014-05-08 18:26:02
KO0,"['0OK', 'OK0']",Gas,2015-08-07 14:56:24
YA9,['9AY'],Liquid,2017-03-25 16:41:30
7DZ,[],Liquid,2013-05-30 10:45:02
O2Z,['O2Z'],Gas,2018-06-20 18:03:05
X3X,"['X3X', 'XX3']",Gas,2013-01-02 20:31:49
3FB,[],Solid,2010-08-03 22:45:53
E9J,"['JE9', '9EJ', '9EJ']",Liquid,2018-12-25 13:40:21
HM2,"['2MH', 'M2H']",Liquid,2010-07-22 14:06:13
9LM,[],Liquid,2010-06-18 07:51:32
SN3,[],Solid,2015-11-20 05:17:01
P3Q,[],Solid,2020-05-20 06:45:43
GD7,[],Gas,2013-01-07 19:25:04
PS4,['P4S'],Solid,2015-01-22 21:12:32
VL3,"['V3L', '3VL', 'L3V']",Gas,2011-11-12 04:17:10
9YA,[],Solid,2012-03-26 05:57:33
O2O,[],Gas,2016-10-18 22:05:20
6OU,"['O6U', 'OU6']",Plasma,2011-01-26 08:38:57
ZK0,"['0KZ', 'ZK0']",Liquid,2021-11-25 18:04:20
O2T,"['2TO', '2TO', 'O2T']",Solid,2016-06-24 10:25:14
W5I,[],Gas,2017-08-01 05:51:08
BE3,"['EB3', '3EB', 'B3E']",Liquid,2019-09-04 12:03:49
UJ5,"['5UJ', 'JU5']",Gas,2016-03-13 02:17:46
0IZ,['0IZ'],Solid,2011-02-03 06:06:48
ID8,[],Liquid,2014-01-25 07:26:09
O3O,['OO3'],Gas,2021-03-28 04:53:04
2ZA,"['Z2A', 'AZ2', '2AZ']",Gas,2013-07-13 15:51:23
K0W,['K0W'],Solid,2021-08-26 15:58:11
N1I,"['N1I', 'IN1']",Gas,2016-06-06 17:17:32
0FV,['FV0'],Gas,2020-08-24 21:13:55
EG8,"['GE8', '8EG']",Gas,2011-05-15 06:58:38
GN5,"['NG5', '5NG', 'G5N']",Liquid,2013-03-17 07:20:29
D5Y,['D5Y'],Liquid,2014-11-09 02:01:43
F3L,['3FL'],Gas,2012-02-20 18:54:49
1NS,['1SN'],Solid,2020-05-06 02:42:00
M2X,[],Solid,2010-03-06 00:35:42
5AQ,"['AQ5', 'A5Q', '5AQ']",Gas,2020-01-16 06:24:44
EL5,"['LE5', 'L5E']",Liquid,2011-07-06 00:10:59
P1K,"['P1K', '1PK']",Liquid,2017-09-13 07:32:47
N2U,[],Liquid,2012-07-22 18:05:14
B4Q,[],Liquid,2019-11-27 08:30:24
7SQ,[],Liquid,2017-04-04 09:47:52
I8Q,"['IQ8', 'IQ8']",Solid,2018-07-21 19:22:12
FT5,['F5T'],Gas,2020-10-03 10:51:36
1UI,"['IU1', '1IU', '1UI']",Solid,2013-10-21 06:04:31
HV8,['VH8'],Liquid,2012-04-15 21:15:17
7JP,['P7J'],Liquid,2011-03-03 17:02:37
5SB,"['5SB', 'SB5', 'S5B']",Liquid,2018-02-21 12:01:50
7FM,"['MF7', 'F7M', 'M7F']",Gas,2019-08-27 10:15:28
8VB,[],Gas,2013-05-22 14:43:06
0ZE,"['ZE0', 'ZE0', '0EZ']",Solid,2010-11-30 07:18:22
R2L,[],Gas,2010-02-21 17:28:08
BJ8,['J8B'],Gas,2018-07-01 00:22:22
DE9,[],Liquid,2014-11-11 07:24:44
P1O,['1OP'],Gas,2015-05-18 09:10:29
N3X,"['XN3', 'XN3']",Gas,2021-01-17 14:29:28
A7A,['AA7'],Supercritical fluid,2011-10-20 20:00:39
I0R,"['R0I', '0IR']",Liquid,2010-03-05 20:02:16
T1K,"['K1T', 'TK1']",Gas,2018-08-20 19:05:30
6YI,"['6YI', 'YI6', 'Y6I']",Solid,2021-07-06 04:07:15
1DZ,['1ZD'],Gas,2018-10-14 04:11:11
DT0,"['T0D', 'DT0']",Solid,2018-08-11 18:03:15
6HK,['6KH'],Gas,2017-09-07 02:59:29
7JR,"['7RJ', 'RJ7', '7RJ']",Gas,2010-12-11 23:51:53
YK8,['Y8K'],Liquid,2021-01-27 00:26:03
N9L,['LN9'],Gas,2016-11-02 19:49:47
IB2,[],Gas,2018-03-27 08:09:41
O6K,[],Liquid,2013-10-26 13:48:53
J9I,[],Solid,2013-12-08 09:20:44
Q6R,[],Solid,2013-12-23 11:19:43
1VT,"['V1T', 'TV1', 'VT1']",Liquid,2018-12-18 18:04:21
P4M,"['PM4', '4MP', '4MP']",Liquid,2017-01-13 18:59:16
5RZ,['5RZ'],Liquid,2021-11-23 15:46:45
4JX,[],Liquid,2011-04-10 01:08:54
NB5,"['5NB', 'NB5', '5BN']",Liquid,2017-09-10 01:32:19
XB7,['7BX'],Solid,2017-05-28 09:03:42
IJ0,"['0IJ', 'JI0', 'J0I']",Liquid,2017-10-21 16:57:11
RF5,"['F5R', '5RF']",Gas,2013-07-14 08:11:03
I9H,['9IH'],Liquid,2019-06-22 22:41:25
1CF,"['F1C', 'CF1']",Solid,2014-09-18 04:20:27
8LE,[],Solid,2010-06-24 02:10:40
P0X,['XP0'],Solid,2012-01-12 02:20:27
M2Z,[],Gas,2018-06-21 12:38:49
IK7,[],Liquid,2015-02-22 15:14:38
V8F,['V8F'],Gas,2013-01-04 04:13:48
X6F,"['F6X', 'FX6', '6XF']",Solid,2014-08-17 09:36:18
AP2,[],Liquid,2021-06-26 18:40:27
C4M,[],Liquid,2021-10-23 14:34:41
H0V,"['0HV', '0HV', '0VH']",Gas,2017-03-22 16:05:12
A5X,"['A5X', 'A5X', 'X5A']",Liquid,2020-10-19 21:02:28
CH5,[],Solid,2016-06-24 07:40:07
7VJ,"['7JV', 'V7J']",Solid,2016-03-04 19:47:33
8MV,"['V8M', 'M8V']",Solid,2010-04-22 00:37:06
A0P,[],Liquid,2011-08-21 18:26:13
ZN1,['N1Z'],Liquid,2013-05-01 02:24:32
O0S,"['OS0', 'OS0', 'SO0']",Solid,2013-03-21 22:48:20
WA0,['WA0'],Solid,2020-07-05 16:16:51
1GM,"['1GM', 'GM1']",Gas,2011-02-20 18:05:01
O5E,"['O5E', '5OE']",Gas,2010-09-13 17:38:29
FI5,[],Solid,2014-06-26 12:45:22
M7L,"['7ML', 'LM7']",Solid,2021-01-11 01:55:23
S4Q,[],Gas,2020-06-18 09:00:23
8NU,['UN8'],Gas,2014-10-14 23:02:38
J4A,"['4JA', '4AJ', 'J4A']",Solid,2018-11-15 12:18:18
I3C,[],Solid,2019-11-01 07:01:20
A5D,"['A5D', 'A5D']",Gas,2019-05-01 21:03:18
UZ3,"['UZ3', 'ZU3', '3ZU']",Gas,2016-01-20 03:43:47
G6O,"['6OG', 'GO6']",Liquid,2010-06-11 15:40:55
T6E,"['6ET', 'ET6']",Gas,2021-07-14 05:34:15
U5U,"['UU5', '5UU']",Liquid,2012-05-01 14:17:52
WY9,"['W9Y', 'W9Y']",Liquid,2012-06-07 12:44:15
SH5,['HS5'],Liquid,2010-06-10 22:41:37
4AV,['VA4'],Liquid,2013-06-28 00:09:54
Q5B,"['5BQ', 'QB5']",Liquid,2021-02-14 17:46:25
9EX,['EX9'],Liquid,2012-10-28 07:17:46
AK9,['9KA'],Liquid,2015-10-28 14:04:30
HG8,"['G8H', '8GH']",Solid,2019-05-10 11:24:11
6QV,"['VQ6', 'QV6']",Gas,2017-09-30 20:05:39
0TQ,['QT0'],Liquid,2017-09-25 12:46:13
C8H,"['H8C', 'HC8']",Gas,2015-12-07 20:35:38
UP9,"['P9U', 'U9P', 'U9P']",Liquid,2010-04-06 11:22:00
M0T,['TM0'],Gas,2018-07-05 08:23:51
TG2,"['G2T', 'TG2', '2TG']",Liquid,2013-11-26 01:33:46
OE2,[],Solid,2017-11-26 15:26:24
H6P,"['HP6', 'P6H', '6HP']",Solid,2015-04-26 19:36:23
LJ7,[],Gas,2012-02-03 13:01:37
1PT,"['PT1', 'T1P', '1PT']",Liquid,2018-04-30 14:50:26
DP4,['4DP'],Liquid,2012-05-15 03:20:07
K6I,"['6IK', 'IK6', 'KI6']",Gas,2016-02-06 07:14:37
D2A,"['2DA', '2DA']",Liquid,2020-04-21 12:24:49
UA4,[],Solid,2020-05-17 03:24:05
1IR,['R1I'],Gas,2012-11-16 08:50:23
X3L,['LX3'],Gas,2012-05-26 19:23:24
M8Z,['ZM8'],Liquid,2016-05-10 13:34:15
PH6,[],Liquid,2012-10-11 16:33:59
T3S,[],Liquid,2020-03-27 06:46:42
5NV,['5VN'],Liquid,2012-03-15 12:16:33
QT2,"['Q2T', '2TQ', 'QT2']",Solid,2017-01-27 06:55:37
7DQ,['D7Q'],Liquid,2013-10-05 02:50:36
BM7,[],Gas,2012-12-22 04:30:15
IS1,[],Solid,2016-01-12 05:51:25
FI3,"['IF3', 'IF3']",Gas,2015-09-19 07:16:26
2AK,['2AK'],Gas,2016-01-28 17:43:30
2SE,['2SE'],Solid,2015-01-08 10:57:45
MN7,"['M7N', 'MN7', '7MN']",Liquid,2011-11-24 08:58:50
0BF,['B0F'],Gas,2014-05-04 14:40:07
M0C,"['0CM', 'MC0']",Liquid,2017-08-30 18:44:21
0QL,"['LQ0', '0QL']",Gas,2015-05-30 02:19:55
9WK,"['9KW', 'WK9', '9WK']",Liquid,2017-05-09 01:38:58
L9N,['LN9'],Gas,2020-06-10 12:27:47
2QO,"['2QO', '2OQ', 'O2Q']",Liquid,2018-11-02 00:19:43
9ZA,"['ZA9', '9AZ', '9ZA']",Liquid,2021-12-22 05:46:57
4QC,[],Gas,2013-03-06 05:02:37
2KM,[],Gas,2011-06-21 04:10:44
S1T,[],Liquid,2018-04-25 02:53:29
B6I,['BI6'],Gas,2017-09-07 21:25:11
1JG,['J1G'],Solid,2016-10-25 13:51:36
6II,"['II6', 'II6', 'II6']",Gas,2016-08-06 21:31:08
TW6,"['WT6', 'T6W']",Solid,2021-11-23 12:09:16
HN6,"['6NH', 'N6H', '6HN']",Gas,2014-10-14 04:42:17
SR4,['SR4'],Gas,2015-06-06 10:56:38
2GZ,"['2ZG', 'GZ2']",Liquid,2013-08-29 22:46:33
6OS,['6SO'],Solid,2012-06-04 15:03:34
I4P,"['IP4', 'PI4', 'P4I']",Solid,2019-04-15 01:23:36
BZ8,"['8BZ', 'B8Z']",Solid,2021-02-26 10:43:50
H4D,"['DH4', '4HD']",Gas,2013-05-03 16:17:24
OK2,"['K2O', 'OK2', 'OK2']",Gas,2011-03-18 12:47:43
YJ0,['0JY'],Solid,2018-03-29 00:48:17
1DX,[],Gas,2016-06-28 10:18:23
1KN,[],Gas,2012-11-29 21:46:17
7RV,['7VR'],Gas,2016-04-22 01:16:41
6NV,['6NV'],Gas,2015-07-25 14:55:40
8EG,"['8GE', 'GE8', 'E8G']",Liquid,2012-01-07 18:29:58
0DU,[],Liquid,2017-11-14 02:46:37
6PH,['PH6'],Gas,2016-02-24 09:03:46
K6S,[],Gas,2014-04-05 10:52:06
D3Z,"['D3Z', 'DZ3', '3ZD']",Liquid,2011-03-04 09:12:48
DL7,"['7DL', '7DL', 'LD7']",Solid,2015-06-30 10:37:31
G5S,['S5G'],Solid,2021-10-19 07:19:07
8GZ,[],Liquid,2020-06-08 13:48:15
GN6,[],Liquid,2013-12-19 12:37:58
2QM,[],Solid,2013-11-28 00:31:07
6AS,"['SA6', 'AS6', '6AS']",Solid,2021-05-28 07:49:10
OC3,"['OC3', '3CO']",Solid,2015-07-03 05:35:32
A4L,[],Solid,2021-09-28 23:30:09
AY4,"['A4Y', 'A4Y']",Liquid,2018-12-21 15:39:47
JB5,"['JB5', 'JB5', '5BJ']",Liquid,2011-06-13 13:17:13
W8H,['WH8'],Solid,2013-03-19 13:33:21
8ZM,[],Gas,2020-04-19 05:23:35
CV6,[],Liquid,2016-12-23 19:01:39
R8J,[],Solid,2015-02-09 09:53:14
2FO,"['OF2', '2FO', '2FO']",Solid,2010-07-07 05:41:28
MZ9,['MZ9'],Gas,2017-11-08 08:33:07
G4L,['LG4'],Liquid,2019-03-15 03:54:38
H7H,"['7HH', 'HH7']",Liquid,2012-05-16 18:12:54
4LT,['LT4'],Solid,2020-04-22 08:32:59
O7H,[],Liquid,2021-05-13 01:14:35
O3F,"['3OF', 'FO3', 'O3F']",Solid,2014-01-24 06:37:39
L4E,['LE4'],Solid,2020-01-09 10:43:28
JS2,"['SJ2', 'J2S', 'SJ2']",Solid,2010-06-09 17:02:28
3NQ,"['N3Q', 'N3Q']",Liquid,2018-07-05 02:04:47
X4F,"['X4F', 'FX4', 'FX4']",Liquid,2018-11-11 22:33:30
FT6,"['6TF', 'F6T']",Liquid,2014-04-21 02:28:06
0JD,"['JD0', 'JD0']",Solid,2019-06-25 14:40:39
GY1,"['G1Y', 'Y1G', '1YG']",Liquid,2020-03-07 02:51:17
PP3,"['P3P', '3PP']",Gas,2011-10-31 19:00:11
FM4,['4MF'],Liquid,2017-01-08 12:05:43
R1B,"['1RB', '1BR']",Gas,2019-07-15 16:59:47
7ZD,"['DZ7', '7DZ']",Gas,2019-07-06 07:40:17
6DK,"['D6K', 'D6K']",Solid,2011-01-18 03:18:06
GG3,"['GG3', '3GG', 'G3G']",Solid,2013-05-20 11:20:39
5WT,"['TW5', 'TW5', 'TW5']",Liquid,2011-02-24 05:00:23
AH0,[],Liquid,2010-07-06 14:43:40
N6K,['KN6'],Liquid,2020-03-16 03:19:00
Q5Q,"['QQ5', 'Q5Q', 'QQ5']",Solid,2013-10-07 07:31:38
VK4,[],Gas,2020-09-05 02:21:06
YG9,[],Liquid,2014-09-02 14:41:27
VU5,"['VU5', 'V5U', 'UV5']",Gas,2014-08-27 11:42:54
XI0,"['I0X', 'X0I']",Solid,2013-10-25 20:33:54
TA8,"['8AT', 'AT8']",Liquid,2021-07-29 16:55:32
SB7,"['BS7', 'SB7']",Gas,2020-01-04 17:44:30
7FP,"['7PF', 'PF7']",Liquid,2018-10-15 18:42:47
Q0H,[],Solid,2020-06-03 16:53:20
L4U,[],Liquid,2021-12-09 07:33:22
C1X,['X1C'],Solid,2010-07-25 14:26:46
MJ4,['4JM'],Solid,2010-08-01 05:02:29
H4J,[],Liquid,2016-11-08 00:45:58
9LJ,"['9JL', 'JL9']",Gas,2016-04-28 03:09:26
D5A,"['5AD', 'D5A', 'DA5']",Solid,2020-10-01 01:22:41
NF8,"['NF8', 'FN8']",Solid,2015-03-01 23:05:43
7GU,['7UG'],Solid,2010-04-25 16:29:15
PH5,['5HP'],Solid,2011-08-14 02:57:12
ZS2,['ZS2'],Liquid,2012-12-28 20:37:38
M4Z,['Z4M'],Gas,2011-03-29 03:35:50
9UX,"['UX9', '9UX', '9XU']",Gas,2012-08-05 13:27:17
9RU,"['9UR', '9UR']",Solid,2015-08-02 19:23:03
KL3,['KL3'],Solid,2018-01-10 03:27:35
LC1,[],Liquid,2019-01-20 23:25:13
E7K,"['7EK', 'E7K', '7EK']",Solid,2018-08-08 01:56:02
AD3,"['A3D', 'DA3']",Liquid,2018-08-26 03:29:21
B0D,[],Gas,2011-07-15 07:49:54
3VI,"['IV3', '3VI']",Gas,2010-08-10 20:54:19
I3W,['3WI'],Solid,2018-05-02 03:29:39
SO5,"['5SO', 'OS5']",Solid,2013-02-12 06:41:58
VD3,"['DV3', '3VD', 'VD3']",Gas,2012-03-04 21:39:00
7OG,[],Solid,2020-09-03 05:46:22
2MO,[],Liquid,2012-06-09 12:24:30
J2L,"['LJ2', '2JL']",Solid,2020-05-15 00:46:21
DH0,"['D0H', 'H0D', '0DH']",Solid,2010-04-12 22:28:04
XI9,"['9XI', '9XI', 'I9X']",Solid,2017-01-05 20:20:08
K2M,[],Gas,2011-08-11 04:42:32
EB8,"['8BE', '8BE']",Solid,2019-05-15 04:51:46
WC5,['5CW'],Liquid,2020-07-15 09:47:28
1EU,"['E1U', '1EU']",Liquid,2013-01-09 23:11:34
HL7,"['LH7', 'H7L', '7LH']",Gas,2011-06-11 07:46:37
SN8,[],Solid,2021-06-21 23:12:15
JR1,[],Liquid,2017-06-19 18:54:24
2TR,"['2TR', 'RT2', 'RT2']",Gas,2014-10-19 01:44:19
FA6,['6AF'],Gas,2012-12-19 19:46:15
DT3,[],Gas,2021-04-15 22:29:15
V5N,"['5NV', '5VN', 'NV5']",Gas,2019-09-27 01:38:08
OE9,[],Liquid,2014-06-24 16:43:12
L8U,['UL8'],Gas,2014-07-13 14:58:27
JN8,['N8J'],Liquid,2014-11-04 02:39:41
